run_id,split,method,state_id,p,theta,c_true,c_hat,n_true,n_hat,abs_err_c,abs_err_n,rmse_c,rmse_n,ci90_low,ci90_high,ci95_low,ci95_high,covered90,covered95,shots_used,abstained,shift_score,backend,noise,policy
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0000,0.9473684210526315,0.5105088062083414,0.7853264671682422,0.7108752727508545,0.3907827979435852,0.3124924302101135,0.07445119441738768,0.0782903677334717,0.08351288453028025,0.05102502311784708,0.5595066038087005,0.8622439416930084,0.5239669930786749,0.8977835524230341,1,1,2000,1,0.02852056702243874,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_naive,test_0000,0.9473684210526315,0.5105088062083414,0.7853264671682422,0.7108752727508545,0.3907827979435852,0.3124924302101135,0.07445119441738768,0.0782903677334717,0.08351288453028025,0.05102502311784708,0.5672509884699477,0.8544995570317613,0.5392267378785511,0.8825238076231579,1,1,2000,1,0.02852056702243874,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_scaled_conformal,test_0000,0.9473684210526315,0.5105088062083414,0.7853264671682422,0.7108752727508545,0.3907827979435852,0.3124924302101135,0.07445119441738768,0.0782903677334717,0.08351288453028025,0.05102502311784708,0.5271043272246256,0.8946462182770833,0.4910911932404658,0.9306593522612432,1,1,2000,1,0.02852056702243874,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0001,0.894736842105263,0.0,0.0,-0.06273465603590012,0.0,-0.01471785269677639,0.06273465603590012,0.01471785269677639,0.08351288453028025,0.05102502311784708,-0.21410332497805407,0.08863401290625383,-0.24964293570807972,0.12417362363627948,1,1,2000,1,0.017629077334721712,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_naive,test_0001,0.894736842105263,0.0,0.0,-0.06273465603590012,0.0,-0.01471785269677639,0.06273465603590012,0.01471785269677639,0.08351288453028025,0.05102502311784708,-0.20635894031680696,0.08088962824500673,-0.23438319090820342,0.10891387883640319,1,1,2000,1,0.017629077334721712,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_scaled_conformal,test_0001,0.894736842105263,0.0,0.0,-0.06273465603590012,0.0,-0.01471785269677639,0.06273465603590012,0.01471785269677639,0.08351288453028025,0.05102502311784708,-0.1694568648826239,0.043987552810823685,-0.1903709500514027,0.06490163797960247,1,1,2000,1,0.017629077334721712,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0002,0.5263157894736842,0.3141592653589793,0.17014836250571597,0.38513121008872986,0.06352546196931905,0.18374325335025787,0.2149828475830139,0.12021779138093883,0.08351288453028025,0.05102502311784708,0.2337625411465759,0.5364998790308838,0.19822293041655026,0.5720394897609095,0,0,2000,1,0.02733579319890974,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_naive,test_0002,0.5263157894736842,0.3141592653589793,0.17014836250571597,0.38513121008872986,0.06352546196931905,0.18374325335025787,0.2149828475830139,0.12021779138093883,0.08351288453028025,0.05102502311784708,0.24150692580782301,0.5287554943696366,0.21348267521642655,0.5567797449610332,0,0,2000,1,0.02733579319890974,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_scaled_conformal,test_0002,0.5263157894736842,0.3141592653589793,0.17014836250571597,0.38513121008872986,0.06352546196931905,0.18374325335025787,0.2149828475830139,0.12021779138093883,0.08351288453028025,0.05102502311784708,0.21754306311187285,0.5527193570655868,0.18470123180958342,0.5855611883678763,0,0,2000,1,0.02733579319890974,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0003,0.8421052631578947,0.23561944901923448,0.3464664340117594,0.13894535601139069,0.15488894720272656,0.10078258812427521,0.20752107800036873,0.05410635907845135,0.08351288453028025,0.05102502311784708,-0.012423312930763264,0.29031402495354464,-0.047962923660788914,0.3258536356835703,0,0,2000,1,0.026299824318614794,sim,ideal,fixed
