backend,method,policy,seed,shots,g,g_grid,split,state_id,p,theta,c_true,c_hat,n_true,n_hat,abs_err_c,abs_err_n,rmse_c,rmse_n,ci90_low,ci90_high,ci95_low,ci95_high,covered90,covered95,shots_used,abstained,shift_score,noise,run_id,timestamp_utc,code_version,run_dir
sim,fixed_nn_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0000,1.0,0.0,0.0,-0.45197097963520194,0.0,-0.2408052863299523,0.45197097963520194,0.2408052863299523,0.5369029707141694,0.287854497860712,-1.832203267279719,0.9282613080093151,-1.832203267279719,0.9282613080093151,1,1,128,1,0.2854790936540527,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_naive,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0000,1.0,0.0,0.0,-0.45197097963520194,0.0,-0.2408052863299523,0.45197097963520194,0.2408052863299523,0.5369029707141694,0.287854497860712,-1.4729524707795907,0.5690105115091867,-1.6721683714906908,0.768226412220287,1,1,128,1,0.2854790936540527,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_scaled_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0000,1.0,0.0,0.0,-0.45197097963520194,0.0,-0.2408052863299523,0.45197097963520194,0.2408052863299523,0.5369029707141694,0.287854497860712,-1.8322032672774555,0.9282613080070518,-1.8322032672774555,0.9282613080070518,1,1,128,1,0.2854790936540527,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0001,0.05263157894736842,0.7853981633974483,0.0,-0.10915654033655352,0.0,-0.09065718508361517,0.10915654033655352,0.09065718508361517,0.5369029707141694,0.287854497860712,-1.4893888279810705,1.2710757473079635,-1.4893888279810705,1.2710757473079635,1,1,128,1,0.5111413272419749,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_naive,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0001,0.05263157894736842,0.7853981633974483,0.0,-0.10915654033655352,0.0,-0.09065718508361517,0.10915654033655352,0.09065718508361517,0.5369029707141694,0.287854497860712,-1.1301380314809422,0.9118249508078351,-1.3293539321920425,1.1110408515189354,1,1,128,1,0.5111413272419749,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_scaled_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0001,0.05263157894736842,0.7853981633974483,0.0,-0.10915654033655352,0.0,-0.09065718508361517,0.10915654033655352,0.09065718508361517,0.5369029707141694,0.287854497860712,-1.4893888279788072,1.2710757473057002,-1.4893888279788072,1.2710757473057002,1,1,128,1,0.5111413272419749,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0002,0.7368421052631579,0.47123889803846897,0.48966818080588903,0.007886681972260605,0.23476747394506864,-0.05941434428247563,0.4817814988336284,0.29418181822754425,0.5369029707141694,0.287854497860712,-1.3723456056722565,1.3881189696167775,-1.3723456056722565,1.3881189696167775,1,1,128,1,0.42635818827904953,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_naive,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0002,0.7368421052631579,0.47123889803846897,0.48966818080588903,0.007886681972260605,0.23476747394506864,-0.05941434428247563,0.4817814988336284,0.29418181822754425,0.5369029707141694,0.287854497860712,-1.0130948091721281,1.0288681731166491,-1.2123107098832284,1.2280840738277494,1,1,128,1,0.42635818827904953,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_scaled_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0002,0.7368421052631579,0.47123889803846897,0.48966818080588903,0.007886681972260605,0.23476747394506864,-0.05941434428247563,0.4817814988336284,0.29418181822754425,0.5369029707141694,0.287854497860712,-1.3723456056699932,1.3881189696145142,-1.3723456056699932,1.3881189696145142,1,1,128,1,0.42635818827904953,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
sim,fixed_nn_conformal,fixed,0,128,multi,"0.00,0.10,0.20,0.35,0.50,0.70,0.90",test,test_0003,0.9473684210526315,0.7461282552275759,0.9182133337015687,-0.6750971660154071,0.45906723389869136,-0.3894595943882997,1.5933104997169758,0.8485268282869911,0.5369029707141694,0.287854497860712,-2.0553294536599243,0.7051351216291099,-2.0553294536599243,0.7051351216291099,0,0,128,1,0.45135071511339975,ideal,run_0_sweep_sim_adaptive,2026-02-16T08:21:05.315486+00:00,unknown,artifacts/raw/sim_sweeps/seed_0_shots_128
